Date,Open,High,Low,Close,Adj Close,Volume
2022-09-12,15.930000,15.930000,15.930000,15.930000,15.611248,0
2022-09-13,14.900000,14.900000,14.900000,14.900000,14.601857,0
2022-09-14,15.090000,15.090000,15.090000,15.090000,14.788056,0
2022-09-15,14.880000,14.880000,14.880000,14.880000,14.582258,0
2022-09-16,14.940000,14.940000,14.940000,14.940000,14.641057,0
2022-09-19,15.080000,15.080000,15.080000,15.080000,14.778256,0
2022-09-20,14.850000,14.850000,14.850000,14.850000,14.552858,0
2022-09-21,14.790000,14.790000,14.790000,14.790000,14.494059,0
2022-09-22,14.280000,14.280000,14.280000,14.280000,13.994264,0
2022-09-23,14.080000,14.080000,14.080000,14.080000,13.798265,0
2022-09-26,13.880000,13.880000,13.880000,13.880000,13.602267,0
2022-09-27,14.070000,14.070000,14.070000,14.070000,13.788465,0
2022-09-28,14.310000,14.310000,14.310000,14.310000,14.023664,0
2022-09-29,13.800000,13.800000,13.800000,13.800000,13.523869,0
2022-09-30,13.600000,13.600000,13.600000,13.600000,13.327871,0
2022-10-03,14.080000,14.080000,14.080000,14.080000,13.798265,0
2022-10-04,14.750000,14.750000,14.750000,14.750000,14.454859,0
2022-10-05,14.890000,14.890000,14.890000,14.890000,14.592058,0
2022-10-06,14.820000,14.820000,14.820000,14.820000,14.523458,0
2022-10-07,13.840000,13.840000,13.840000,13.840000,13.563068,0
2022-10-10,13.360000,13.360000,13.360000,13.360000,13.092672,0
2022-10-11,13.050000,13.050000,13.050000,13.050000,12.788876,0
2022-10-12,12.890000,12.890000,12.890000,12.890000,12.632077,0
2022-10-13,13.270000,13.270000,13.270000,13.270000,13.004474,0
2022-10-14,12.660000,12.660000,12.660000,12.660000,12.406679,0
2022-10-17,13.030000,13.030000,13.030000,13.030000,12.769275,0
2022-10-18,13.120000,13.120000,13.120000,13.120000,12.857475,0
2022-10-19,13.160000,13.160000,13.160000,13.160000,12.896674,0
2022-10-20,13.220000,13.220000,13.220000,13.220000,12.955474,0
2022-10-21,13.700000,13.700000,13.700000,13.700000,13.425869,0
2022-10-24,13.730000,13.730000,13.730000,13.730000,13.455268,0
2022-10-25,14.140000,14.140000,14.140000,14.140000,13.857065,0
2022-10-26,13.940000,13.940000,13.940000,13.940000,13.661066,0
2022-10-27,13.880000,13.880000,13.880000,13.880000,13.602267,0
2022-10-28,14.400000,14.400000,14.400000,14.400000,14.111862,0
2022-10-31,14.010000,14.010000,14.010000,14.010000,13.729667,0
2022-11-01,14.140000,14.140000,14.140000,14.140000,13.857065,0
2022-11-02,13.820000,13.820000,13.820000,13.820000,13.543468,0
2022-11-03,13.670000,13.670000,13.670000,13.670000,13.396469,0
2022-11-04,14.330000,14.330000,14.330000,14.330000,14.043263,0
2022-11-07,14.610000,14.610000,14.610000,14.610000,14.317660,0
